Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp
Running,2020-10-30 07:18:25,false,"Los Angeles Running","3.15","366","00:27:37","143","156","3.1","156","165","8:45","7:54","39","39","1.18","0.0","0.0","--","0.0","--","--","--","0.0","0.0","27:37","0:00","62.6","0:00","No","01:19.24","4","0.0","18","18","18"
Running,2020-10-29 07:51:59,false,"Los Angeles Running","3.58","420","00:29:41","151","178","3.5","153","162","8:17","6:36","43","43","1.27","0.0","0.0","--","0.0","--","--","--","0.0","0.0","29:41","0:00","64.4","0:00","No","04:26.31","4","0.0","--","--","--"
Walking,2020-10-24 12:52:34,false,"Newcastle Walking","6.36","683","01:45:17","91","119","2.1","113","168","16:33","8:16","574","584","0.86","0.0","0.0","--","0.0","--","--","--","0.0","0.0","1:45:17","0:00","66.2","0:00","No","06:07.10","7","0.0","14","14","14"
Walking,2020-10-22 15:45:07,false,"Newcastle Walking","6.34","694","01:43:42","99","124","2.1","111","158","16:21","9:47","564","571","0.89","0.0","0.0","--","0.0","--","--","--","0.0","0.0","1:43:42","0:00","55.4","0:00","No","05:33.78","7","0.0","16","16","16"
Walking,2020-10-17 18:11:40,false,"Newcastle Walking","6.36","685","01:40:35","92","121","2.2","114","165","15:48","9:55","564","568","0.90","0.0","0.0","--","0.0","--","--","--","0.0","0.0","1:40:35","0:00","66.2","0:00","No","06:00.23","7","0.0","13","13","13"
Walking,2020-10-14 10:59:55,false,"Newcastle Walking","6.34","692","01:35:19","104","136","2.2","116","161","15:02","8:59","558","561","0.93","0.0","0.0","--","0.0","--","--","--","0.0","0.0","1:35:19","0:00","64.4","0:00","No","05:03.19","7","0.0","17","17","17"
Hiking,2020-10-01 07:43:49,false,"Kittitas County Hiking","6.66","920","03:33:09","97","147","0.9","41","159","32:00","14:18","600","3,297","1.24","0.0","0.0","--","0.0","--","--","--","0.0","0.0","3:33:09","0:00","71.6","0:00","No","03:33:08.74","1","0.0","16","10","38"
Hiking,2020-09-30 10:55:17,false,"Kittitas County Hiking","7.07","1,743","04:43:23","109","147","2.1","25","230","40:06","12:53","3,291","597","2.16","0.0","0.0","--","0.0","--","--","--","0.0","0.0","4:43:23","0:00","73.4","0:00","No","01:56:45.19","2","0.0","20","10","44"
Indoor Cycling,2020-09-29 14:47:33,false,"Indoor Cycling","14.44","550","01:00:04","134","153","2.5","--","--","14.4","20.1","--","--","0.00","0.0","0.0","164","58.5","173","153","450","0.0","0.0","1:00:04","0:00","84.2","0:00","No","18:47.26","3","0.0","29","14","41"
Running,2020-09-27 19:08:24,false,"Tukwila Running","6.24","679","00:48:12","155","175","4.2","153","160","7:44","6:40","52","52","1.36","0.0","0.0","--","0.0","--","--","--","0.0","0.0","48:12","0:00","68.0","0:00","No","01:42.26","7","0.0","35","13","46"
Walking,2020-09-27 10:53:39,false,"Newcastle Walking","6.35","701","01:34:13","108","135","2.2","116","247","14:51","7:19","564","571","0.93","0.0","0.0","--","0.0","--","--","--","0.0","0.0","1:34:13","0:00","71.6","0:00","No","04:58.95","7","0.0","19","11","40"
Walking,2020-09-26 18:32:39,false,"Newcastle Walking","6.35","670","01:46:38","94","120","2.0","110","119","16:48","13:45","535","564","0.87","0.0","0.0","--","0.0","--","--","--","0.0","0.0","1:46:38","0:00","66.2","0:00","No","06:08.72","7","0.0","17","10","29"
Running,2020-09-24 18:17:28,false,"Newcastle Running","3.12","351","00:24:33","157","171","3.3","153","162","7:52","5:52","259","253","1.33","0.0","0.0","--","0.0","--","--","--","0.0","0.0","24:33","0:00","68.0","0:00","No","00:46.02","4","0.0","37","14","44"
Walking,2020-09-24 13:33:47,false,"Newcastle Walking","6.37","678","01:43:34","95","118","2.1","111","120","16:16","12:50","554","554","0.89","0.0","0.0","--","0.0","--","--","--","0.0","0.0","1:43:34","0:00","71.6","0:00","No","06:19.90","7","0.0","19","11","30"
Walking,2020-09-22 17:34:35,false,"Newcastle Walking","6.44","674","01:50:08","91","116","2.0","108","236","17:06","8:59","545","541","0.87","0.0","0.0","--","0.0","--","--","--","0.0","0.0","1:50:08","0:00","75.2","0:00","No","08:18.26","7","0.0","19","10","27"
Running,2020-09-21 16:29:18,false,"Newcastle Running","6.22","714","00:57:30","145","171","3.4","149","161","9:14","5:36","531","531","1.17","0.0","0.0","--","0.0","--","--","--","0.0","0.0","57:30","0:00","77.0","0:00","No","02:04.54","7","0.0","31","14","42"
Walking,2020-09-20 15:35:23,false,"Newcastle Walking","6.33","680","01:36:15","98","123","2.1","114","159","15:12","7:46","558","541","0.93","0.0","0.0","--","0.0","--","--","--","0.0","0.0","1:36:15","0:00","77.0","0:00","No","05:22.76","7","0.0","19","12","36"
Cycling,2020-09-19 10:25:15,false,"Newcastle Cycling","34.53","995","02:11:24","128","159","3.0","--","--","15.8","39.9","1,558","1,572","0.00","0.0","0.0","--","0.0","--","--","--","0.0","0.0","2:11:24","0:00","66.2","0:00","No","07:34.24","8","0.0","27","16","51"
Cycling,2020-09-18 17:25:49,false,"Newcastle Cycling","22.93","824","01:20:56","137","162","3.1","--","--","17.0","39.7","1,201","1,204","0.00","0.0","0.0","--","0.0","--","--","--","0.0","0.0","1:20:56","0:00","68.0","0:00","No","12:39.51","5","0.0","30","13","42"
Walking,2020-09-17 16:50:55,false,"Newcastle Walking","12.12","1,263","03:18:18","86","117","2.6","106","159","16:22","2:23","814","1,145","0.93","0.0","0.0","--","0.0","--","--","--","0.0","0.0","3:18:18","0:00","71.6","0:00","No","02:13.51","13","0.0","17","10","30"
